npv, moves first, value, expanded nodes, generated nodes, seconds, generated/seconds
34, White, -4, 0, 0,0, -
33, Black, -4, 1, 2,0, inf
32, White, -4, 3, 5,0, inf
31, Black, -4, 4, 6,0, inf
30, White, -4, 9, 13,0, inf
29, Black, -4, 10, 14,0, inf
28, White, -4, 41, 63,0, inf
27, Black, -4, 72, 112,0, inf
26, White, -4, 242, 378,0, inf
25, Black, -4, 579, 939,0, inf
24, White, -4, 820, 1316,0, inf
23, Black, -4, 10417, 15765,0.015, 1.051e+06
22, White, -4, 13684, 21667,0, inf
21, Black, -4, 37567, 59799,0.031, 1.929e+06
20, White, -4, 182043, 293139,0.125, 2.34511e+06
19, Black, -4, 426115, 707009,0.297, 2.3805e+06
18, White, -4, 4825531, 7888678,3.438, 2.29455e+06
17, Black, -4, 7789838, 13053386,5.531, 2.36004e+06
16, White, -4, 52946700, 88310040,37.234, 2.37176e+06
15, Black, -4, 176309609, 291752728,122.516, 2.38134e+06
