npv, moves first, value, expanded nodes, generated nodes, seconds, generated/seconds
34, White, -4, 0, 0,0, -
33, Black, -4, 1, 2,0, inf
32, White, -4, 3, 5,0, inf
31, Black, -4, 4, 6,0, inf
30, White, -4, 9, 13,0, inf
29, Black, -4, 10, 14,0, inf
28, White, -4, 64, 91,0, inf
27, Black, -4, 125, 177,0, inf
26, White, -4, 744, 1049,0, inf
25, Black, -4, 3168, 4498,0, inf
24, White, -4, 8597, 11978,0, inf
23, Black, -4, 55127, 76826,0.047, 1.6346e+06
22, White, -4, 308479, 428402,0.25, 1.71361e+06
21, Black, -4, 2525249, 3478735,1.797, 1.93586e+06
20, White, -4, 9459570, 13078933,7.094, 1.84366e+06
19, Black, -4, 65121519, 90647895,49.859, 1.81808e+06
18, White, -4, 625084814, 876269598,552.328, 1.5865e+06
