npv, moves first, value, expanded nodes, generated nodes, seconds, generated/seconds
34, White, -4, 1, 1,1.00001e-06, 999992
33, Black, -4, 2, 2,1.00001e-06, 1.99998e+06
32, White, -4, 7, 6,1.00001e-06, 5.99995e+06
31, Black, -4, 8, 7,9.99891e-07, 7.00076e+06
30, White, -4, 15, 14,1.00001e-06, 1.39999e+07
29, Black, -4, 16, 15,1.00001e-06, 1.49999e+07
28, White, -4, 84, 86,7.00005e-06, 1.22856e+07
27, Black, -4, 170, 184,1.3e-05, 1.41539e+07
26, White, -4, 390, 444,3.1e-05, 1.43226e+07
25, Black, -4, 659, 793,0.000288, 2.75347e+06
24, White, -4, 927, 1134,0.000397, 2.85642e+06
23, Black, -4, 5806, 7168,0.002626, 2.72963e+06
22, White, -4, 18110, 22827,0.007883, 2.89572e+06
21, Black, -4, 32392, 41520,0.014359, 2.89157e+06
20, White, -4, 122960, 162103,0.055002, 2.94722e+06
19, Black, -4, 540990, 717074,0.240225, 2.98501e+06
18, White, -4, 4172502, 5513929,1.83315, 3.00789e+06
17, Black, -4, 11529109, 15208392,5.01083, 3.0351e+06
16, White, -4, 48000841, 63032052,20.673, 3.04901e+06
15, Black, -4, 141772007, 185632378,60.5146, 3.06756e+06
14, White, -4, 2866637461, 3713452198,1200.52, 3.0932e+06
