npv, moves first, value, expanded nodes, generated nodes, seconds, generated/seconds
34, White, -4, 1, 1,1.00001e-06, 999992
33, Black, -4, 2, 2,1.00001e-06, 1.99998e+06
32, White, -4, 5, 5,3.00002e-06, 1.66665e+06
31, Black, -4, 6, 6,2.00002e-06, 2.99998e+06
30, White, -4, 7, 9,3.9998e-06, 2.25011e+06
29, Black, -4, 8, 10,4.00003e-06, 2.49998e+06
28, White, -4, 22, 30,7.50001e-05, 399999
27, Black, -4, 37, 49,8.30002e-05, 590360
26, White, -4, 38, 53,0.000204, 259804
25, Black, -4, 39, 57,0.000285, 200000
24, White, -4, 40, 60,0.000397, 151134
23, Black, -4, 59, 94,0.002488, 37781.4
22, White, -4, 386, 559,0.008414, 66436.9
21, Black, -4, 709, 1016,0.017029, 59662.9
20, White, -4, 710, 1022,0.057035, 17918.8
19, Black, -4, 5967, 8577,0.246145, 34845.3
18, White, -4, 22687, 32881,1.92403, 17089.7
17, Black, -4, 62349, 88149,5.30699, 16610
16, White, -4, 107875, 152762,21.0368, 7261.64
15, Black, -4, 200865, 282929,63.4022, 4462.45
14, White, -4, 404655, 565287,1169.59, 483.322
